individualID,DOB,Sex,mother,father,Maturity,ID_notes,neighborhood,community,Focal,ogFocal,goneBy2018
Porkpie,1/1/94,Male,,Parker,Independent,,central,central,1,1,0
Peterson,1/1/95,Male,Aretha,Garrison,Independent,,central,central,1,1,0
Django,1/1/97,Male,Betty,Dizzy,Independent,,central,central,1,1,0
Haden,1/1/99,Male,Lita,Rude,Independent,,central,central,1,1,0
Abrams,12/1/99,Male,Callas,Ornette,Independent,,central,central,1,1,0
Lovano,12/1/99,Male,Fitzgerald,Hodge,Independent,,central,central,1,1,0
Wilson,12/1/99,Male,Kidman,Bartok,Independent,,central,central,1,1,0
Barron,3/1/01,Male,Sutherland,Hodge,Independent,,central,central,1,1,0
Erroll,1/1/02,Male,Salome,Hare,Independent,,central,central,1,1,0
Booker,4/15/02,Male,Sills,Hodge,Independent,,central,central,1,1,0
Jarman,1/1/05,Male,Callas,Monk,Independent,,central,central,1,0,0
PeeWee,2/1/06,Male,Brunhilde,Mulligan,Independent,,central,central,1,0,0
Fleck,6/1/06,Male,Sarah,Getz,Independent,,central,central,1,0,0
Dylan,7/26/06,Male,Fitzgerald,Webster,Independent,,central,central,1,0,0
Cannonball,7/30/07,Male,Sigourney,Getz,Independent,,central,central,1,0,0
Orff,1/1/05,Male,Sutherland,Hare,Independent,,central,central,0,0,0
Mweya,1/1/62,Male,,,Independent,,central,central,0,0,1
Hare,1/1/69,Male,Hare-Mother,,Independent,,central,central,0,0,1
Ornette,1/1/77,Male,,,Independent,,central,central,0,0,1
Rahsaan,1/1/87,Male,Kundry,Pincer,Independent,,central,central,0,0,1
Susan,5/1/02,Female,Sigourney,Mweya,Independent,,central,central,0,0,1
Scarlet,9/1/04,Female,Jolie,Berg,Independent,,central,central,0,0,1
Hawkins,1/1/95,Male,Anderson,Hodge,Independent,,central-east,central,0,1,1
Jane,1/1/70,Female,,,Independent,,central-north,central,0,0,1
Stella,7/1/96,Female,,,Independent,,central-north,central,0,0,1
Anarkali,4/23/14,Female,Stella,,Dependent,,central-north,central,0,0,1
Anderson,1/1/74,Female,,,Independent,,east,central,0,0,1
Southpaw,1/1/93,Male,,,Independent,,east,central,0,0,1
Hawkins,1/1/95,Male,Anderson,Hodge,Independent,,east,central,0,0,1
Chingachgook,4/4/14,Male,Atwood,Mulligan,Dependent,,east,central,0,0,1
Cate.infant1,8/25/14,Unknown,Cate,,Dependent,,east,central,0,0,1
Benny,6/1/00,Male,Cecilia,Garrison,Independent,,west,west,1,1,1
Thornton,1/1/60,Female,,,Independent,,west,west,0,0,1
Cecilia,1/1/76,Female,,,Independent,,west,west,0,0,1
Lucia,1/1/86,Female,,,Independent,,west,west,0,0,1
Mansfield,10/1/90,Female,,,Independent,,west,west,0,0,1
Herbie,1/1/94,Male,,,Independent,,west,west,0,0,1
Samantha,1/1/96,Female,,,Independent,,west,west,0,0,1
Rosa,10/15/03,Female,Mansfield,Garrison,Independent,,west,west,0,0,1
Byrne,4/15/05,Female,Kundry,Brownface,Independent,,west,west,0,0,1
Elvira,2/13/12,Female,Bacall,Hutcherson,Dependent,,west,west,0,0,1
Kanawa,1/1/70,Female,,,Independent,,west-central,west,0,0,1
Dizzy,1/1/77,Male,,,Independent,,,central,0,0,1
Pilar,1/10/17,Female,,,Dependent,,,central,0,0,1
Sutherland,1/1/63,Female,,,Independent,,central,central,0,0,0
Lita,1/1/68,Female,,,Independent,,central,central,0,0,0
Fitzgerald,1/1/69,Female,,,Independent,,central,central,0,0,0
Monk,1/1/72,Male,Garbo,Rude,Independent,,central,central,0,0,0
Bartok,1/1/73,Male,Betty,,Independent,,central,central,0,0,0
Aretha,1/1/75,Female,,,Independent,,central,central,0,0,0
Sigourney,1/1/76,Female,,,Independent,,central,central,0,0,0
Leonora,1/1/77,Female,,,Independent,,central,central,0,0,0
Sarah,1/1/77,Female,,,Independent,,central,central,0,0,0
Miles,1/1/81,Male,,Rude,Independent,,central,central,0,0,0
Bartoli,1/1/83,Female,,,Independent,1/1/84,central,central,0,0,0
Basie,1/1/83,Male,Betty,,Independent,,central,central,0,0,0
Morton,1/1/84,Male,Hare-Mother,,Independent,,central,central,0,0,0
Jolie,1/1/85,Female,,,Independent,1/1/88,central,central,0,0,0
Callas,12/1/85,Female,,,Independent,,central,central,0,0,0
Garett,1/1/89,Male,Sutherland,Brownface,Independent,,central,central,0,0,0
Carter,1/1/90,Male,Aretha,,Independent,,central,central,0,0,0
Jackson,1/1/91,Male,Cecilia,Rude,Independent,,central,central,0,0,0
Ingrid,6/1/91,Female,,,Independent,7/6/93,central,central,0,0,0
Amelia,9/20/94,Female,,,Independent,,central,central,0,0,0
Fiona,1/1/97,Female,,,Independent,,central,central,0,0,0
Christine,3/1/99,Female,,,Independent,,central,central,0,0,0
Hester,10/5/01,Female,,,Independent,,central,central,0,0,0
Baez,11/1/01,Female,,,Independent,Wide eared ; white sclera in left eye?; black skin under eyes like Abrams ,central,central,0,0,0
Ruth,3/12/02,Female,,,Independent,Ears like Harper; sort of mix between rosa and mystery central ; I saw her march 10 at m/15,central,central,0,0,0
Fisher,12/26/03,Female,,,Independent,,central,central,0,0,0
Powell,1/1/06,Male,Merrill,Berg,Independent,,central,central,0,0,0
Frida,2/1/09,Female,Aretha,Hodge,Dependent,,central,central,0,0,0
Ava,6/10/09,Female,Carmen,Miles,Dependent,big belly button,central,central,0,0,0
Clayton,2/1/10,Male,Ingrid,Jackson,Dependent,,central,central,0,0,0
Susanna,5/1/10,Female,Amelia,Mulligan,Dependent,,central,central,0,0,0
Zawinul,12/12/10,Male,Jolie,Carter,Dependent,,central,central,0,0,0
Naidu,3/9/11,Female,Sutherland,Bartok,Dependent,,central,central,0,0,0
Toshi,7/20/11,Male,Callas,Jackson,Dependent,,central,central,0,0,0
Fricka,12/12/11,Female,Sigourney,Cash,Dependent,,central,central,0,0,0
Salonen,6/1/12,Male,Sarah,Ornette,Dependent,,central,central,0,0,0
Nadine,10/17/13,Unknown,Christine,Cash,Dependent,,central,central,0,0,0
Varda,11/15/14,Female,Ingrid,Peterson,Dependent,,central,central,0,0,0
Herzog,2/5/15,Male,Bartoli,Jackson,Dependent,,central,central,0,0,0
Muhammad.Ali,6/6/15,Male,Lita,,Dependent,,central,central,0,0,0
Kabacwezi,10/25/16,Female,Jolie,Peterson,Dependent,,central,central,0,0,0
Amelia.infant1,10/31/17,Unknown,Amelia,,Dependent,,central,central,0,0,0
Baez.infant1,11/7/17,Unknown,Baez,,Dependent,,central,central,0,0,0
Hester.infant,12/3/17,Unknown,Hester,,Dependent,,central,central,0,0,0
Ruth.infant,1/29/18,Unknown,Ruth,,Dependent,,central,central,0,0,0
Kofi,2/23/18,Male,Fiona,,Dependent,,central,central,0,0,0
Kano,3/6/18,Male,Callas,,Dependent,,central,central,0,0,0
Huxley,3/30/18,Male,Christine,,Dependent,,central,central,0,0,0
Baez.infant2,12/7/18,Unknown,Baez,,Dependent,,central,central,0,0,0
Evans,1/1/96,Male,Sills,Bartok,Independent,,central-east,central,1,1,0
Hicks,1/1/97,Male,Harper,Hare,Independent,,central-east,central,1,1,0
Elton,1/1/05,Male,Kidman,Lofty,Independent,,central-east,central,1,0,0
Gus,2/2/07,Male,Sills,Berg,Independent,,central-east,central,1,0,0
Sills,1/1/66,Female,,,Independent,,central-east,central,0,0,0
Emmy.Lou,11/1/04,Female,Lucia,Rollins,Independent,,central-east,central,0,0,0
Denis,4/16/15,Female,Sills,Jackson,Dependent,,central-east,central,0,0,0
Marlene,1/1/50,Female,,,Independent,,central-north,central,0,0,0
Merrill,1/1/67,Female,,,Independent,,central-north,central,0,0,0
Halle,1/1/87,Female,Merrill,,Independent,,central-north,central,0,0,0
Taylor,6/1/91,Female,,,Independent,,central-north,central,0,0,0
Wangari,1/1/97,Female,,,Independent,,central-north,central,0,0,0
Margaret,7/1/06,Female,Halle,Bartok,Independent,,central-north,central,0,0,0
Eubanks,9/2/10,Male,Taylor,Bartok,Dependent,,central-north,central,0,0,0
PVT,12/1/11,Male,Halle,Dolphy,Dependent,,central-north,central,0,0,0
Lucrezia,1/15/12,Female,Wangari,Jackson,Dependent,,central-north,central,0,0,0
Biko,4/21/16,Male,Wangari,,Dependent,,central-north,central,0,0,0
Halle.infant1,10/15/17,Male,Halle,,Dependent,,central-north,central,0,0,0
Sarandon,1/1/76,Female,,,Independent,,central-south,central,0,0,0
Puccini,5/1/08,Male,Sarandon,Jackson,Independent,,central-south,central,0,0,0
Arundhathi,10/29/13,Female,Sarandon,Southpaw,Dependent,,central-south,central,0,0,0
Brownface,1/1/66,Male,,,Independent,,central-west,central,0,0,0
Natalie,1/1/98,Female,Leonora,Parker,Independent,,central-west,central,0,0,0
Strayhorn,3/7/11,Male,Natalie,Wes,Dependent,,central-west,central,0,0,0
Lumumba,11/16/15,Male,Natalie,,Dependent,,central-west,central,0,0,0
Mitchell,1/1/99,Male,Mulligan-Mother,Ellington,Independent,,east,central,1,1,0
Chopin,1/1/01,Male,Violetta,Dexter,Independent,,east,central,1,0,0
Bosko,1/1/03,Male,Julianne,Lofty,Independent,,east,central,1,0,0
Harper,1/1/52,Female,,,Independent,,east,central,0,0,0
Kidman,1/1/77,Female,,,Independent,,east,central,0,0,0
Julianne,1/1/78,Female,,,Independent,,east,central,0,0,0
Violetta,1/1/81,Female,,,Independent,White socks and gloves(?),east,central,0,0,0
Dexter,1/1/85,Male,,Mweya,Independent,,east,central,0,0,0
Mulligan,1/1/89,Male,Mulligan-Mother,AyeAye,Independent,,east,central,0,0,0
Cash,1/1/93,Male,OldVioletta,,Independent,,east,central,0,0,0
Lucy,1/1/96,Female,,,Independent,,east,central,0,0,0
Shire,1/1/96,Female,,,Independent,,east,central,0,0,0
Atwood,7/2/96,Female,,,Independent,3/1/96,east,central,0,0,0
Beryl,1/1/99,Female,,,Independent,,east,central,0,0,0
Jacki,1/1/99,Female,,,Independent,,east,central,0,0,0
Cate,3/10/99,Female,,,Independent,,east,central,0,0,0
Florence,3/11/99,Female,,,Independent,,east,central,0,0,0
Khutulun,6/17/01,Female,,,Independent,,east,central,0,0,0
Bronte,1/1/02,Female,Aretha,Pincer,Independent,,east,central,0,0,0
Nelson,1/1/07,Male,Anderson,Mingus,Independent,,east,central,0,0,0
Josipa,6/1/10,Female,Julianne,Mingus,Dependent,,east,central,0,0,0
BobiWine,6/20/10,Male,Violetta,Dexter,Dependent,,east,central,0,0,0
Amina,12/20/11,Female,Anderson,Cash,Dependent,"curved brows, oprhan",east,central,0,0,0
Rodriguez,2/1/13,Male,Shire,Pincer,Dependent,,east,central,0,0,0
Cedar,4/1/13,Male,Kidman,Berg,Dependent,,east,central,0,0,0
LadyMurasaki,2/19/16,Female,Cate,Chopin,Dependent,,east,central,0,0,0
Woodrow,10/29/17,Male,Jackie,,Dependent,,east,central,0,0,0
Julianne.infant,10/30/17,Unknown,Julianne,,Dependent,,east,central,0,0,0
Gunnell,1/1/18,Male,Atwood,,Dependent,first seen 1/8/18 by Izzi,east,central,0,0,0
Lindsay,1/18/18,Female,Beryl,,Dependent,,east,central,0,0,0
Tolkien,2/2/18,Male,Shire,,Dependent,,east,central,0,0,0
Charlotte,2/26/18,Female,Bronte,,Dependent,,east,central,0,0,0
Violetta.infant,3/11/18,Unknown,Violetta,,Dependent,,east,central,0,0,0
Wayne,1/1/96,Male,Kundry,Bartok,Independent,,west,west,1,1,0
Wes,6/1/97,Male,Ma Rainey,Miles,Independent,,west,west,1,1,0
Buckner,1/1/00,Male,Lucia,Hare,Independent,,west,west,1,1,0
Murray,11/15/04,Male,Senta,Miles,Independent,,west,west,1,0,0
BillyBragg,1/1/05,Male,Rusalka,Morton,Independent,,west,west,1,0,0
YoYo,1/1/06,Male,Cecilia,Garrison,Independent,,west,west,1,0,0
Damien,7/1/06,Male,Kanawa,Pincer,Independent,,west,west,1,0,0
Garbo,1/1/56,Female,,,Independent,,west,west,0,0,0
Garrison,1/1/77,Male,LadyDay,,Independent,,west,west,0,0,0
Senta,1/1/82,Female,,,Independent,,west,west,0,0,0
Fleming,1/1/86,Female,,,Independent,,west,west,0,0,0
Rollins,1/1/86,Male,Kanawa,Pincer,Independent,,west,west,0,0,0
Richmond,1/1/87,Male,Garbo,,Independent,,west,west,0,0,0
Rusalka,1/1/90,Female,,,Independent,,west,west,0,0,0
Penelope,1/1/91,Female,Kidman,,Independent,,west,west,0,0,0
Binoche,1/1/92,Female,Julianne,,Independent,,west,west,0,0,0
Renee,1/1/92,Female,Josta_Kanyawara,,Independent,,west,west,0,0,0
Bacall,4/1/92,Female,,,Independent,1/1/93,west,west,0,0,0
Dahlia,5/1/93,Female,,,Independent,4/1/93,west,west,0,0,0
Pizan,1/1/94,Female,,,Independent,,west,west,0,0,0
Hutcherson,1/1/94,Male,Garbo,Parker,Independent,,west,west,0,0,0
Carson,4/5/94,Female,,,Independent,1/1/96,west,west,0,0,0
Charlize,1/1/96,Female,,,Independent,,west,west,0,0,0
Maya,1/1/96,Female,Marlene,,Independent,Black face; no notches on ear as of May 2015,west,west,0,0,0
Geraldyn,7/1/96,Female,,,Independent,11/1/95,west,west,0,0,0
Sabin,5/1/98,Female,,,Independent,,west,west,0,0,0
Sonia,10/7/99,Female,,,Independent,,west,west,0,0,0
Anna,1/1/01,Female,Fleming,,Independent,"black, fluffy",west,west,0,0,0
Leigh,1/1/01,Female,Sarah,,Independent,,west,west,0,0,0
Beecher,1/1/01,Female,,,Independent,,west,west,0,0,0
Renata,3/1/04,Female,OldVioletta,Lofty,Independent,,west,west,0,0,0
Miliah,9/1/04,Female,Leonora,Brubeck,Independent,,west,west,0,0,0
Tori,8/1/05,Female,Penelope,Tatum,Independent,,west,west,0,0,0
Ellen,2/1/06,Female,Bartoli,Dexter,Independent,,west,west,0,0,0
Williams,10/1/07,Male,Bacall,Richmond,Independent,,west,west,0,0,0
Larson,11/1/07,Male,Fleming,Miles,Independent,,west,west,0,0,0
Sanger,4/1/08,Female,Dahlia,Tatum,Independent,,west,west,0,0,0
Freddie,5/1/08,Male,Binoche,Rollins,Independent,,west,west,0,0,0
Bach,12/1/08,Male,Kundry,Morton,Independent,,west,west,0,0,0
Holland,7/20/10,Male,Lucia,Jackson,Dependent,,west,west,0,0,0
Harriet,11/22/10,Female,Geraldyn,Hutcherson,Dependent,,west,west,0,0,0
Eleanor,12/1/10,Female,Charlize,Wes,Dependent,,west,west,0,0,0
Kaija,12/5/10,Female,Pizan,Peterson,Dependent,,west,west,0,0,0
RichBergl,12/6/10,Male,Mansfield,Rollins,Dependent,,west,west,0,0,0
Bowie,12/8/10,Male,Renee,Richmond,Dependent,,west,west,0,0,0
Struhsaker,1/8/11,Male,Senta,Rahsaan,Dependent,,west,west,0,0,0
Silver,3/1/11,Male,Maya,Garrison,Dependent,,west,west,0,0,0
Valentina,3/3/11,Female,Quinton,Wes,Dependent,,west,west,0,0,0
EttaJames,3/9/11,Female,Kanawa,Dexter,Dependent,,west,west,0,0,0
Francoise,8/8/11,Female,Fiona,Mulligan,Dependent,,central-west,central,0,0,0
Joya,8/15/11,Female,Cecilia,Bartok,Dependent,,west,west,0,0,0
Flanagan,10/1/11,Male,Rusalka,Jackson,Dependent,,west,west,0,0,0
Kozena,3/12/12,Female,Penelope,Rahsaan,Dependent,,west,west,0,0,0
Septina,10/1/12,Female,Dahlia,Garrison,Dependent,,west,west,0,0,0
DiDonato,11/1/12,Female,Fleming,Richmond,Dependent,,west,west,0,0,0
Nina,5/1/13,Female,Sabin,Buckner,Dependent,,west,west,0,0,0
Virginia,10/7/13,Female,Sonia,Peterson,Dependent,,west,west,0,0,0
Rosalind,12/4/13,Female,Carson,Morton,Dependent,,west,west,0,0,0
Lombard,4/15/14,Female,Leigh,Herbie Hancock,Dependent,,west,west,0,0,0
Tubman,10/4/14,Female,Geraldyn,Richmond,Dependent,,west,west,0,0,0
Sufjan,4/21/15,Male,Binoche,Garrison,Dependent,,west,west,0,0,0
Doudna,4/28/15,Female,Anna,Buckner,Dependent,,west,west,0,0,0
Vigilant,10/26/15,Female,Beecher,Wes,Dependent,,west,west,0,0,0
Whitman,2/1/16,Male,Fleming,,Dependent,,west,west,0,0,0
Caceres,3/4/16,Female,Bacall,Hutcherson,Dependent,,west,west,0,0,0
Chimamanda,3/4/16,Female,Penelope,Wes,Dependent,,west,west,0,0,0
Junot,5/15/16,Male,Senta,Rollins,Dependent,,west,west,0,0,0
Hermione,10/31/16,Female,Dahlia,Wes,Dependent,,west,west,0,0,0
Jerry,5/7/17,Male,Charlize,,Dependent,,west,west,0,0,0
Ilithyia,6/10/17,Female,Pizan,,Dependent,,west,west,0,0,0
EO,12/10/17,Male,Carson,,Dependent,,west,west,0,0,0
Malala,1/3/18,Unknown,Renata,,Dependent,,west,west,0,0,0
Rusalka.infant,1/15/18,Unknown,Rusalka,,Dependent,,west,west,0,0,0
Louis,1/27/18,Male,Sabin,,Dependent,,west,west,0,0,0
Geraldyn.infant1,2/12/18,Unknown,Geraldyn,,Dependent,,west,west,0,0,0
Renee.infant1,,,,,Dependent,,,west,0,0,0